,post_link,content,mrt_tags
0,https://www.instagram.com/p/CIpza7-sgUD/,"📍Taipei, Taiwan
藏壽司 @kurasushi.tw / 以盤計價
美味程度：🌕🌕🌕🌑🌑
環境衛生：🌕🌕🌕🌕🌑
服務態度：🌕🌕🌕🌕🌑
再訪意願：🌕🌕🌕🌗🌑
台北館前店
🗺 台北市中正區館前路12號5樓
🚇 捷運台北車站M6出口
⏰週一~週五11：00-22：00 週六~週日10：30-22：00
🍽2020.12.07到訪用餐
💡補充💡這次除了超夯的鬼滅之刃是重點外，還有12/15開賣新品🎊雞肉龍田揚握壽司很適合不吃生魚片的，雞肉本身調味過，口感紮實！其他人氣商品：炙烤味噌美乃滋鮭魚特製的味噌美乃滋味道讓整體口感更加滑順😍鹹甜的口感讓鮭魚更加分！奶油乳酪蟹肉棒上頭一小坨的奶油乳酪很加分😘讓單調的蟹肉棒多了些層次感！蒜香洋蔥牛肉壽司肉質稍微偏乾了一些，但蒜片和洋蔥的搭配盤特別的，解了些油膩感。當然還有一些我自己平常很喜歡點的，像是熟成黑鮪魚中肚的油脂分配均勻，魚肉細緻滑嫩，雖然一貫要$80但有預算的話蠻推薦的😉海鮮海膽軍艦我也很喜歡～因為切碎的海鮮讓整體口感很彈牙😋甜點方面我很推豆乳甜甜圈！炸得金黃酥脆的甜甜圈還淋上黑糖蜜💖跟霜淇淋搭配在一起冷熱融合的口感超美味！但紅豆粒偏甜一些～焦糖法式金磚我也很喜歡～吐司厚實、上面淋上蜂蜜後甜甜的，配上霜淇淋也解了一點甜度🤩
🕵🏻‍♂️4foodie告訴你🕵🏻‍♂️每五盤就可以轉一次，12/4至 1/17有六款吊飾、十款徽章🥰消費滿$1500登入發票活動網址: https://lihi1.com/ozpjz 還有機會得到毛巾或是炭治郎及煉獄杏壽郎的玩偶！！！超級想要！！如果是當日有消費滿$1200則可以獲得資料夾～限量的！而每週送的角色也都不一樣唷～12/7～炭治郎、12/10～伊之助、12/14～禰豆子、12/17～善逸！大家快把握機會吧❤️❤️

#4foodie台北 #4foodie #4foodie台北車站 #台北車站美食 #台北美食 #壽司 #迴轉壽司 #中正區 #中正區美食 #taipei #藏壽司 #くら寿司 #kurasushi #kurasushitw #鬼滅之刃 #鬼滅の刃 #鬼滅之刃扭蛋 #藏壽司扭蛋 #炭治郎#禰豆子 #炎柱 #無限列車 #台灣美食 #台北美食 #台灣 #台北餐廳 #taipeifood #taiwanfood #台北晚餐 #台湾
©版權所有，不得轉載copyrights reserved",台北車站
1,https://www.instagram.com/p/CImvZr-sM00/,"📍Taipei, Taiwan
點冰室/ 以下餐點及價位
草莓生乳三明治 $140
美味程度：🌕🌕🌕🌕🌑
💡補充💡新鮮草莓🍓超大顆又多汁，白吐司軟綿夾著5顆草莓跟生乳鹽奶霜超搭，奶霜爽口不膩，而且草莓都是甜的完全不酸！草莓三明治要預留不然吃不到～
小山園濃抹拿鐵 $160
美味程度：🌕🌕🌕🌕🌗
💡補充💡非常濃郁是苦甜的，喜歡抹茶的人會愛～
整體
環境衛生：🌕🌕🌕🌕🌕
服務態度：🌕🌕🌕🌕🌕
再訪意願：🌕🌕🌕🌕🌑
🗺台北市大同區承德路二段53巷33號
🚇捷運中山站5號出口
⏰13:00-20:00

感謝 @love80613 的分享🙏🏻
🔹標記 #4foodieforfoodie 就有機會讓我們分享你的文章哦🔹

#4foodie台北 #4foodie甜點 #三明治 #生乳三明治 #草莓三明治 #水果三明治 #台灣美食 #台北美食 #sandwich #strawberrysandwich #4foodie中山站",中山
2,https://www.instagram.com/p/CIkqNr2sc0P/,"📍Taipei, Taiwan
施福建好吃雞肉 / 雞油飯 雞肉切盤 / $10 $150
美味程度：🌕🌕🌕🌕🌑
環境衛生：🌕🌕🌗🌑🌑
服務態度：🌕🌕🌕🌕🌑
再訪意願：🌕🌕🌕🌑🌑
🗺台北市萬華區環河南路一段25巷4號
🚇捷運西門站
☎(02)2388-3817
⏰11:00-17:30 週日公休
🍽2020.12.04到訪
💡補充💡雞肉滿嫩也蠻大盤的，雞油飯帶點淡淡的油香，價錢實在佛心🙏🏻旁邊會附上清湯，喝起來中藥味滿濃郁的(沒有很愛)不過雞肉肉質蠻軟嫩，搭配醬汁鹹甜鹹甜非常下飯👌🏻🍚
#4foodie #4foodie台北 #施福建好吃雞肉 #4foodie西門站 #雞肉飯 #台北小吃 #taipeifood #taipeitravel #taiwanfood #taiwanesefood #4foodieforfoodie #4foodieintaipei
©️版權所有，不得轉載copyrights reserved",西門
3,https://www.instagram.com/p/CIZuD_JMcH7/,"📍Taipei, Taiwan
廣州街夜市香脆蚵仔煎 / 蚵仔煎 / $70
美味程度：🌕🌕🌕🌕🌗
環境衛生：🌕🌕🌕🌑🌑
服務態度：🌕🌕🌕🌗🌑
再訪意願：🌕🌕🌕🌕🌑
🗺台北市中正區廣州街224號
🚇捷運龍山寺站
☎0920-901-958
⏰18:00-01:00週四公休
🍽2020.12.04到訪用餐
💡補充💡第一次吃到是外帶，那時就已經覺得很好吃了，這次終於來逛夜市現場吃到了🤩蚵仔煎的皮真的是有夠脆，咬下去聲音超大，蛋香十足，蚵仔也是顆顆肥又大粒完全沒有腥味💯💯💯可惜唯一缺點是也真的超油的😂撇除很油之外目前算是好吃蚵仔煎第一名🥇
#4foodie #4foodie龍山寺站 #台北美食 #廣州街美食 #廣州街夜市美食 #廣州街夜市 #台北小吃 #蚵仔煎 #台灣小吃 #夜市美食 #台北蚵仔煎 #夜市小吃 #taipei #台灣小吃 #4foodie小吃 #台湾グルメ #taipeifood #taipeitravel #taiwanfood #taiwanesefood #4foodieintaipei #4foodieforfoodie
©️版權所有，不得轉載copyrights reserved",龍山寺
4,https://www.instagram.com/p/CIXy6WQsmOF/,"📍️Taipei, Taiwan
台北萬豪酒店 宴客樓 / 以下餐點及價位
全台冠軍烤鴨三重奏 $3800
美味程度：🌕🌕🌕🌕🌕
💡補充💡 第一次來到台北萬豪酒店宴客樓🤩這次點了招牌的冰火烤鴨三重奏🤤有烤鴨三吃、楊梅汁和春捲冰淇淋完美收尾🍦烤鴨三重奏奪得2017台灣5大霸王鴨冠軍🏆以北京鴨高溫慢火烤出鴨皮酥黃焦脆，搭配嚼勁Q彈的餅皮，師傅會將鴨腿另外切下來裝盤！非常貼心❤️鴨肉米粉湯也是相當的美味，沒有鴨臊味，湯頭甘甜濃郁！最後搭配爽口潤喉的楊梅汁與哈根達斯芒果冰淇淋春捲🥭從熱菜到飲料到甜點都精心安排！記得烤鴨需三天前預約喔🔥🔥🔥
崑崙鮑魚撈飯 $580/位
美味程度：🌕🌕🌕🌕🌗
💡補充💡鮑魚撈飯很入味，鮑魚口感軟嫩，搭配老母雞醬汁與青江菜，非常下飯！這道也需三天前預約喔🤩🤩🤩
麻香皮蛋麵 $420
美味程度：🌕🌕🌕🌕🌗
💡補充💡份量大約四人份，非常喜歡花椒帶出來的香麻口感，很夠味，雖然第一口感覺很辣但其實吃到後面是順口的👌🏻推薦給喜歡椒麻口味的愛好者🌶🌶🌶 這道也需三天前預約喔！
蟹肉金魚餃 $380/3粒
美味程度：🌕🌕🌕🌕🌑
💡補充💡很可愛精緻的點心，金魚造型的餃子裡包的是蟹肉🦀️旁邊會附上黑醋，可以自行插入擠壓進去金魚餃內！
整體
環境衛生：🌕🌕🌕🌕🌕
服務態度：🌕🌕🌕🌕🌕
再訪意願：🌕🌕🌕🌕🌕
🗺 台北市中山區樂群二路199號
🚇捷運劍南路站3號出口
☎(02)8502-9999
⏰11:00-22:00
🍽2020.11.25到訪
#4foodie #4foodie劍南路站 #台北美食 #4foodieluxe #taipei #大直美食 #台北烤鴨 #taipeimarriotthotel #宴客樓 #台北萬豪酒店 #4foodieintaipei #4foodieforfoodie
©版權所有，不得轉載copyrights reserved","中山,三重,大直,劍南路"
5,https://www.instagram.com/p/CIXRJMNMbUI/,"📍Taipei, Taiwan
房間餐酒 / 以下餐點及價位
慾火焚雞辣醬烤半裸雞 $650
美味程度：🌕🌕🌕🌕🌗
💡補充💡這個烤半雞真的太厲害！她附的是類似韓式的辣醬，一旁除了烤時蔬還有年糕唷！但比起沾醬，我更喜歡單吃她的肉！肉的份量很多，整整兩排的肉還有雞腿的部分，肉非常非常的嫩，光看照片就可以感受到！整體調味的鹹度偏鹹一點但是是我可以接受的鹹香味！我超推！跟朋友聚餐一定要點來分食！
兩個人可以做很多事餐(法式滷味) $400
美味程度：🌕🌕🌕🌗🌑
💡補充💡本來就有附一種醬料，如果要再新增醬料，一種+$40！我個人很推法國松露橄欖醬！整個滷味都高級起來了！如果喜歡台式一點的味道則可以選沙茶醬！整份可以選肉類、蔬菜、豆乾類、菇類和小吃類，我們選了牛腱、娃娃菜、黑豆乾、杏鮑菇和甜不辣！牛腱軟嫩到一個不行！連筋都很軟！完全是我愛的口感！娃娃菜味道也很不錯，不會有過重的菜味～杏鮑菇也很多汁很有彈性！
暗黑爆料魯肉飯 $350
美味程度：🌕🌕🌕🌗🌑
💡補充💡很特別形式的滷肉飯，分別兩球飯和兩球肉餅！飯烤到超級金黃焦脆，連放了很久後表面還是一樣保有硬度！豬肉絲餅蠻夠味的！不會太油，肉的鹹香和飯搭配起來真的有滷肉飯的味道～算是一道蠻有創意的料理！
歡迎光臨MY鳳梨私 $250
美味程度：🌕🌕🌕🌕🌕
💡補充💡這個是用鳳梨酥概念去做的！只能說這個拜託大家必點！底下是鳳梨做的奶醬和鹹蛋黃味道的卡士達再來是奶油酥粒，而最上面是鳳梨內餡和檸檬冰沙！口感超級特別！這道甜點不會像傳統鳳梨酥一樣乾，因為有奶醬和卡士達醬所以口感很滑順，甜度也適中，記得要配著上面的鳳梨內餡和冰沙一起入口唷！(鳳梨的比例可以挖少一點比較不會太甜)檸檬冰沙個人覺得是整體亮點，解膩解甜很加分！大推這道！
你是索馬利亞海盜盜走我的心 $380
美味程度：🌕🌕🌗🌑🌑
💡補充💡琴酒、⽩蘭地、杏桃、⽕龍果、野莓琴酒，她比較偏奶昔口感，其實我沒有喝過這種感覺的調酒，所以發現自己不是那麼喜歡那麼稠狀的調酒，所以喝不太習慣，如果平常不排斥喝稠狀的調酒的話，個人其實覺得味道是蠻好的，火龍果味道明顯，算蠻妹仔的一杯調酒！
椅子-青芒果酸啤酒 $250
美味程度：🌕🌕🌕🌕🌑
💡補充💡瓶子長超可愛就點了！很好喝，偏酸但又沒有我想像的酸，味道很溫和！我下次會想再點！
整體：
環境衛生：🌕🌕🌕🌕🌑
服務態度：🌕🌕🌕🌕🌑
再訪意願：🌕🌕🌕🌕🌑
🗺台北市大安區敦化南路一段160巷56號
🚇東區地下街11號出口
☎️(02)2773-1665
⏰17：30-02：00
🍽2020.12.02到訪用餐
#4foodie #4foodie忠孝復興站 #4foodie忠孝敦化站 #台北美食 #東區美食 #台北餐酒 #taipei #忠孝復興美食 #忠孝敦化美食 #餐酒館 #房間餐酒
©版權所有，不得轉載copyrights reserved","忠孝復興,忠孝敦化,大安"
6,https://www.instagram.com/p/CIVMwhOMo1o/,"📍Taipei, Taiwan
Muko brunch / 以下餐點及價位
波塔特骰子牛 $300
美味程度：🌕🌕🌕🌕🌑
💡補充💡底下是自製薯餅，是絲狀那種，煎的夠焦脆，不會油膩！骰子牛吃起來帶點嚼勁，但還算軟嫩好咬！我很喜歡整體搭配的有點類似肉醬的醬汁，和薯餅很搭！水波蛋和荷蘭醬讓整體鹹度也降低了些！但水波蛋個人覺得可以再更生一點！
酪梨花的告白沙拉 $330
美味程度：🌕🌕🌕🌗🌑
💡補充💡有豐富的生菜、水果、堅果、麵包塊、紅藜麥、水煮蛋跟燻鮭魚！還有新鮮又漂亮的酪梨～燻鮭魚厚薄度適中，整體吃起來是有飽足感的，蠻大一份！
水果黑糖堅果優格 $40(加購價)
美味程度：🌕🌕🌕🌗🌑
💡補充💡優格不會太甜，配黑糖醬剛剛好！堅果給的不少！
好時好食 $280
美味程度：🌕🌕🌑🌑🌑
💡補充💡是法式吐司，但我覺得蛋液浸泡的不夠久，吃起來口感不夠濕潤滑順，奶香味也沒有特別突出，但旁邊水果都蠻新鮮的很甜！上方可以選擇酸奶或冰淇淋唷～
草莓爆爆珠氣泡 $130
美味程度：🌕🌕🌕🌗🌑
💡補充💡爆爆珠蠻酷的，咬下去會爆出草莓的汁！我覺得不會太甜還不錯！
藍莓果昔 $180
美味程度：🌕🌕🌕🌕🌑
💡補充💡很真材實料，還吸得到果肉渣渣！
拿鐵 $150
美味程度：🌕🌕🌕🌑🌑
💡補充💡上面有很可愛的小熊拉花！味道中規中矩～
整體：
環境衛生：🌕🌕🌕🌕🌗
服務態度：🌕🌕🌕🌕🌑
再訪意願：🌕🌕🌕🌗🌑
🗺台北市大安區金華街183巷8號
🚇捷運東門站3號出口
☎️(02)3393-1699
⏰09：00-17：00
🍽2020.11.26到訪用餐
#4foodie #4foodie東門站 #台北美食 #永康街美食 #台北咖啡廳 #taipei #東門站美食 #永康美食 #台北早午餐 #早午餐
©版權所有，不得轉載copyrights reserved","大安,東門"
7,https://www.instagram.com/p/CISpjVNsNOJ/,"📍Taipei, Taiwan
讚鐵板燒 & 松濤日本料理 / 松濤套餐 / $5200
美味程度：🌕🌕🌕🌕🌗
環境衛生：🌕🌕🌕🌕🌗
服務態度：🌕🌕🌕🌕🌗
再訪意願：🌕🌕🌕🌕🌑
🗺台北市士林區承德路四段192-1號B1
🚇捷運劍潭站3號出口
☎️(02)2880-1880
⏰11:30-14:00 17:30-22:00
🍽2020.11.16到訪用餐
💡補充💡看到 @taipeifoodie常常來吃被燒到😂🤤🔥這次選擇了$5200的菜單！首先先上了安康魚肝、鮪魚大腹生魚片作為開始！料理長會邊上菜邊介紹各種魚類知識，感覺比較像是在上課學到很多🤓🤓🤓非常專業，連餐廳裡的木頭裝飾、桌面都是精心挑選設計的！料理長擁有30年的傳統江戶前板前料理經驗，解說與手藝皆不在話下👍🏻包廂環境舒適～可帶家人來用餐🍴🍣
#4foodie #4foodie劍潭站 #台北美食 #4foodieluxe #taipei #台灣美食 #台北壽司 #taipeisushi #士林美食 #松濤日本料理 #4foodieintaipei #4foodieforfoodie
©版權所有，不得轉載copyrights reserved","士林,劍潭"
8,https://www.instagram.com/p/CIPcQVes1FT/,"📍Taichung, Taiwan
上海未名麵點 酸梅湯 / 酸菜麵 / $75
美味程度：🌕🌕🌕🌕🌑
環境衛生：🌕🌕🌕🌕🌑
服務態度：🌕🌕🌕🌕🌑
再訪意願：🌕🌕🌕🌕🌑
🗺台中市中區市府路69號
☎️ (04)2225-0377
⏰07:00-14:00週日公休
🍽2020.10.30到訪用餐
💡補充💡獲得2020米其林必比登推薦！酸菜麵裡的麵條屬於細麵，口感滿Q彈，很像拉麵，個人蠻喜歡這個口感的，酸菜也很入味，唯一美中不足的是排骨有點油，但肉質還算是滿嫩的👌🏻👌🏻👌🏻
#4foodie #4foodie台中 #上海未名麵點 #taichung #台中小吃 #台中美食 #酸菜麵 #米其林 #必比登推薦 #4foodie米其林 #michelinguide # #4foodieintaichung #4foodieforfoodie
©️版權所有，不得轉載copyrights reserved",
9,https://www.instagram.com/p/CINmngyscG1/,"📍Taipei, Taiwan
Jacob's Rice & Noodle / 以下菜名及價位
雞腿串蛋炒飯 $160
美味程度：🌕🌕🌕🌕🌑
💡補充💡米飯粒粒分明，口感不會太油，香氣很夠！
蒼蠅頭拌飯 $170
美味程度：🌕🌕🌕🌑🌑
💡補充💡 除了碎肉還有韭菜花及豆豉，因為個人對韭菜還好所以這道只吃了幾口，但整體味道很夠味，配上半熟太陽蛋剛剛好～不會太鹹！
豪華家常雞湯麵 $240
美味程度：🌕🌕🌕🌕🌑
💡補充💡雞湯口感醇香！不是超濃那種但是淡中還是吃的出雞與蛤蜊的甜味～是清爽的湯頭！麵的軟硬度正常偏軟一些！整體料蠻豐富的！
去殼蝦海鮮燴麵 $220
美味程度：🌕🌕🌕🌗🌑
💡補充💡喜歡濃郁海鮮鮮味的可以點，味道挺特別的，油麵條不會太軟，但個人喜歡再更硬一點的！蛤蜊每一顆都很飽滿多汁！
涼拌滷味沙拉 $160
美味程度：🌕🌕🌕🌕🌑
💡補充💡豆腐豆乾我都很喜歡！汁都包覆在裡面那種！滷的很入味！溏心蛋也很不錯！蛋黃半熟的程度剛剛好！有附胡麻醬，但個人更喜歡單吃他的滷汁味道！
紅油抄手 $50
美味程度：🌕🌕🌕🌕🌑
💡補充💡不太辣！以小菜來說份量挺剛好也挺開胃的，雖然不大顆但內餡包的肉卻蠻實在的！
香菇炒水蓮 $60
美味程度：🌕🌕🌕🌕🌑
大麥奶茶 $80
美味程度：🌕🌕🌕🌗🌑
冬瓜鮮奶 $80
美味程度：🌕🌕🌗🌑🌑
💡補充💡冬瓜味道不太重～表現比較一般～
特調美祿 $100
美味程度：🌕🌕🌕🌗🌑
💡補充💡跟其他杯比起來偏甜一些，但以美祿來說我覺得比我想像的不甜了，我自己蠻喜歡的！
牛奶夾心冰淇淋 $110
美味程度：🌕🌕🌕🌕🌑
💡補充💡 外頭麵包烤得金黃酥脆！很像炸銀絲卷那樣，裡面的冰淇淋口感超級綿密！外熱內冷搭起來很棒！建議多人分食哦～
整體
環境衛生：🌕🌕🌕🌕🌑
服務態度：🌕🌕🌕🌕🌑
再訪意願：🌕🌕🌕🌗🌑
🗺 台北市大安區忠孝東路三段205-1號
🚇捷運忠孝復興1號出口
☎️ 0912-328-190
⏰11：30-15：00 17：30-21：30 週日11：30-21：30 週一公休
🍽2020.11.17到訪用餐
💡補充💡算是蠻新型態的中西合併創意中式飯麵小館～餐單種類蠻豐富唷！
#4foodie #4foodie忠孝復興站 #台北美食 #JacobsRiceNoodle #taipei #忠孝復興站美食 #忠孝復興美食 #台灣美食 #4foodieintaipei #4foodieforfoodie
©版權所有，不得轉載copyrights reserved","忠孝復興,大安"
